"filename", "language", "YAML", "JSON", "Markdown", "TypeScript", "HTML", "Gradle", "Java Properties", "JavaScript", "JSON with Comments", "TypeScript JSX", "Batch", "Perl", "CSS", "MS SQL", "Python", "Rust", "XML", "Java", "Shell Script", "Docker", "pip requirements", "comment", "blank", "total"
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\.github\workflows\docker-publish.yml", "YAML", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 83
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\.github\workflows\sdk-publish.yml", "YAML", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 38
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\CHANGELOG.md", "Markdown", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 77
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\README.md", "Markdown", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 86
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\desktop\package.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\desktop\src-tauri\build.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\desktop\src-tauri\gen\schemas\acl-manifests.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\desktop\src-tauri\gen\schemas\capabilities.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\desktop\src-tauri\gen\schemas\desktop-schema.json", "JSON", 0, 6722, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6722
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\desktop\src-tauri\gen\schemas\windows-schema.json", "JSON", 0, 6722, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6722
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\desktop\src-tauri\src\main.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 197, 0, 0, 0, 0, 0, 14, 39, 250
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\desktop\src-tauri\src\performance.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 4, 10, 55
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\desktop\src-tauri\tauri.conf.json", "JSON", 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 153
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\desktop\src\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 55
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\capacitor.build.gradle", "Gradle", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 20
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\androidTest\java\com\getcapacitor\myapp\ExampleInstrumentedTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 6, 27
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 8, 42
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\java\chat\beacon\app\MainActivity.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\res\drawable-v24\ic_launcher_foreground.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 1, 171
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\res\drawable\splash_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\res\values\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 4, 25
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\main\res\xml\file_paths.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5
"c:\Users\mysti.KIM-JONG-UN.000\Desktop\Beacon\apps\mobile\android\app\src\test\java\com\getcapacitor\myapp\ExampleUnitTest.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
